sample_year,analysis_value,,,,,,
1978,333.37,,,,,,
1978,333.5,,,,,,
1978,333.39,,,,,,
1978,331.14,,,,,,
1978,331.36,,,,,,
1978,331.76,,,,,,
1978,331.87,,,,,,
1978,331.71,,,,,,
1978,332.26,,,,,,
1978,332.94,,,,,,
1978,332.96,,,,,,
1978,331.93,,,,,,
1978,339.57,,,,,,
1978,331.49,,,,,,
1978,331.38,,,,,,
1978,333.75,,,,,,
1978,355.59,,,,,,
1978,332.5,,,,,,
1978,332.61,,,,,,
1978,333.52,,,,,,
1978,333.8,,,,,,
1978,332.92,,,,,,
1978,333.36,,,,,,
1978,333.62,,,,,,
1978,333.7,,,,,,
1978,333.28,,,,,,
1978,333.26,,,,,,
1978,333.81,,,,,,
1978,333.96,,,,,,
1978,333.89,,,,,,
1978,333.46,,,,,,
1978,333.82,,,,,,
1978,333.75,,,,,,
1978,333.84,,,,,,
1978,334.02,,,,,,
1978,335.15,,,,,,
1978,335.27,,,,,,
1978,335.24,,,,,,
1978,334.75,,,,,,
1979,338.39,,,,,,
1979,336.67,,,,,,
1979,336.99,,,,,,
1979,335.92,,,,,,
1979,336.23,,,,,,
1979,336.69,,,,,,
1979,336.8,,,,,,
1979,336.95,,,,,,
1979,336.38,,,,,,
1979,338.72,,,,,,
1979,342.76,,,,,,
1979,336.51,,,,,,
1979,336.91,,,,,,
1979,336.72,,,,,,
1979,338.08,,,,,,
1979,337.09,,,,,,
1979,337.48,,,,,,
1979,339.25,,,,,,
1979,344.54,,,,,,
1979,338.36,,,,,,
1979,338.89,,,,,,
1979,339.76,,,,,,
1979,339.24,,,,,,
1979,339.36,,,,,,
1979,339.61,,,,,,
1979,337.16,,,,,,
1979,336.89,,,,,,
1979,339.52,,,,,,
1979,338.79,,,,,,
1979,338.38,,,,,,
1979,338.6,,,,,,
1979,338.94,,,,,,
1979,338.41,,,,,,
1979,341.56,,,,,,
1979,342.57,,,,,,
1979,338.61,,,,,,
1979,338.17,,,,,,
1979,338.36,,,,,,
1979,338.36,,,,,,
1979,340.18,,,,,,
1979,340.14,,,,,,
1979,339.49,,,,,,
1979,339.28,,,,,,
1979,340.83,,,,,,
1979,341.22,,,,,,
1979,338.54,,,,,,
1979,338.66,,,,,,
1979,339.19,,,,,,
1979,339.55,,,,,,
1979,338.66,,,,,,
1979,338.59,,,,,,
1979,337.9,,,,,,
1979,338.02,,,,,,
1979,338.12,,,,,,
1979,338,,,,,,
1979,337,,,,,,
1979,336.96,,,,,,
1979,334.11,,,,,,
1979,334.04,,,,,,
1979,337.12,,,,,,
1979,338.8,,,,,,
1979,335.94,,,,,,
1979,335.86,,,,,,
1979,330.21,,,,,,
1979,330.47,,,,,,
1979,333.63,,,,,,
1979,333.73,,,,,,
1979,336.07,,,,,,
1979,335.55,,,,,,
1979,335.02,,,,,,
1979,334.87,,,,,,
1979,334.93,,,,,,
1979,335.26,,,,,,
1979,333.91,,,,,,
1979,333.63,,,,,,
1979,333.94,,,,,,
1979,341.32,,,,,,
1979,333.65,,,,,,
1979,333.36,,,,,,
1979,333.75,,,,,,
1979,333.65,,,,,,
1979,333.34,,,,,,
1979,333.34,,,,,,
1979,337.19,,,,,,
1979,340.6,,,,,,
1979,335.25,,,,,,
1979,335.48,,,,,,
1979,334.51,,,,,,
1979,340.44,,,,,,
1979,337,,,,,,
1979,336.61,,,,,,
1979,341.17,,,,,,
1979,344.28,,,,,,
1979,335.93,,,,,,
1979,336.15,,,,,,
1979,335.33,,,,,,
1979,335.18,,,,,,
1979,335.81,,,,,,
1979,336.34,,,,,,
1979,334.94,,,,,,
1979,335.01,,,,,,
1979,338.19,,,,,,
1979,336.55,,,,,,
1979,335.86,,,,,,
1979,336,,,,,,
1979,338.57,,,,,,
1979,338.4,,,,,,
1980,347.23,,,,,,
1980,352,,,,,,
1980,350.25,,,,,,
1980,349.94,,,,,,
1980,340.69,,,,,,
1980,340.98,,,,,,
1980,341.31,,,,,,
1980,341.49,,,,,,
1980,344.81,,,,,,
1980,353.45,,,,,,
1980,345.16,,,,,,
