sample_year,analysis_value,,,,,,
1993,90.94,,,,,,
1993,143.21,,,,,,
1993,143.94,,,,,,
1993,111.93,,,,,,
1993,110.6,,,,,,
1993,116.29,,,,,,
1993,114.43,,,,,,
1993,116.28,,,,,,
1993,115.51,,,,,,
1993,107.96,,,,,,
1993,108.77,,,,,,
1993,111.72,,,,,,
1993,114.23,,,,,,
1993,101,,,,,,
1993,101,,,,,,
1993,82.12,,,,,,
1993,82.38,,,,,,
1993,93,,,,,,
1993,91.07,,,,,,
1993,86.03,,,,,,
1993,86.28,,,,,,
1993,91.61,,,,,,
1993,90.91,,,,,,
1993,89.48,,,,,,
1993,90.06,,,,,,
1993,73.11,,,,,,
1993,75.86,,,,,,
1993,74.42,,,,,,
1993,67.46,,,,,,
1993,67.65,,,,,,
1993,70.27,,,,,,
1993,72.02,,,,,,
1993,65.25,,,,,,
1993,64.33,,,,,,
1993,69.12,,,,,,
1993,68.3,,,,,,
1993,68.84,,,,,,
1993,69.79,,,,,,
1993,71.25,,,,,,
1993,71.21,,,,,,
1993,82.66,,,,,,
1993,82.63,,,,,,
1993,82.95,,,,,,
1993,83.26,,,,,,
1993,71.36,,,,,,
1993,71.02,,,,,,
1993,83.51,,,,,,
1993,82.45,,,,,,
1993,94.02,,,,,,
1993,94.45,,,,,,
1993,97.18,,,,,,
1993,97.69,,,,,,
1993,105.56,,,,,,
1993,104.7,,,,,,
1993,85.55,,,,,,
1993,85.79,,,,,,
1993,108.05,,,,,,
1993,108.99,,,,,,
1993,108.77,,,,,,
1993,110.1,,,,,,
1993,98.28,,,,,,
1993,96.53,,,,,,
1993,95.98,,,,,,
1993,94.13,,,,,,
1993,99.92,,,,,,
1993,102.1,,,,,,
1993,92.29,,,,,,
1993,122.3,,,,,,
1993,122.03,,,,,,
1993,100.97,,,,,,
1993,101.73,,,,,,
1994,102.3,,,,,,
1994,101.9,,,,,,
1994,121.96,,,,,,
1994,122.42,,,,,,
1994,129.14,,,,,,
1994,128.04,,,,,,
1994,142.45,,,,,,
1994,142.35,,,,,,
1994,110.59,,,,,,
1994,111.4,,,,,,
1994,113.02,,,,,,
1994,112.47,,,,,,
1994,92.18,,,,,,
1994,92.12,,,,,,
1994,131.2,,,,,,
1994,129.76,,,,,,
1994,87.49,,,,,,
1994,85.77,,,,,,
1994,93.19,,,,,,
1994,91.32,,,,,,
1994,160.76,,,,,,
1994,161.56,,,,,,
1994,148.74,,,,,,
1994,147.61,,,,,,
1994,127.71,,,,,,
1994,129.47,,,,,,
1994,129.02,,,,,,
1994,110.29,,,,,,
1994,111.06,,,,,,
1994,145.31,,,,,,
1994,144.61,,,,,,
1994,129.17,,,,,,
1994,126.75,,,,,,
1994,110.21,,,,,,
1994,111.4,,,,,,
1994,106.46,,,,,,
1994,106.74,,,,,,
1994,104.69,,,,,,
1994,102.7,,,,,,
1994,101.82,,,,,,
1994,100.79,,,,,,
1994,96.34,,,,,,
1994,96.58,,,,,,
1994,105.37,,,,,,
1994,104.3,,,,,,
1994,92.23,,,,,,
1994,91.87,,,,,,
1994,80.88,,,,,,
1994,79.39,,,,,,
1994,85.6,,,,,,
1994,85.52,,,,,,
1994,81.18,,,,,,
1994,79.99,,,,,,
1994,78.29,,,,,,
1994,77.43,,,,,,
1994,78.3,,,,,,
1994,78.24,,,,,,
1994,68.89,,,,,,
1994,70.31,,,,,,
1994,67.68,,,,,,
1994,66.21,,,,,,
1994,67.53,,,,,,
1994,67.45,,,,,,
1994,67.62,,,,,,
1994,67.31,,,,,,
1994,73.11,,,,,,
1994,72.36,,,,,,
1994,73.4,,,,,,
1994,72.76,,,,,,
1994,73.28,,,,,,
1994,72.49,,,,,,
1994,84.59,,,,,,
1994,85.24,,,,,,
1994,85.84,,,,,,
1994,85.39,,,,,,
1994,93.54,,,,,,
1994,92.79,,,,,,
1994,82.95,,,,,,
1994,95.95,,,,,,
1994,96.58,,,,,,
1994,94.96,,,,,,
1994,93.95,,,,,,
1994,109,,,,,,
1994,109.85,,,,,,
1994,130.51,,,,,,
1994,92.28,,,,,,
1994,90.91,,,,,,
1994,103.11,,,,,,
1994,103.08,,,,,,
1994,87.35,,,,,,
1994,87.2,,,,,,
1994,113.82,,,,,,
1994,112.33,,,,,,
1994,105.22,,,,,,
1994,105.42,,,,,,
1994,137.14,,,,,,
1994,138.79,,,,,,
1994,131.79,,,,,,
1994,133.13,,,,,,
1994,118.87,,,,,,
1994,117.62,,,,,,
1995,160.41,,,,,,
1995,161.09,,,,,,
1995,115.71,,,,,,
1995,115.43,,,,,,
1995,99.95,,,,,,
1995,99.73,,,,,,
1995,93.66,,,,,,
1995,92.99,,,,,,
1995,99.51,,,,,,
1995,99.57,,,,,,
1995,122.99,,,,,,
1995,122.78,,,,,,
1995,106.55,,,,,,
1995,106.41,,,,,,
1995,130.11,,,,,,
1995,129.14,,,,,,
1995,149.19,,,,,,
1995,147.09,,,,,,
1995,110.58,,,,,,
1995,108.9,,,,,,
1995,98.76,,,,,,
1995,99.55,,,,,,
1995,122.86,,,,,,
1995,177.13,,,,,,
1995,175.45,,,,,,
1995,136.3,,,,,,
1995,136.69,,,,,,
1995,122.08,,,,,,
1995,121.08,,,,,,
1995,109.22,,,,,,
1995,110.29,,,,,,
1995,133.21,,,,,,
1995,130.54,,,,,,
1995,93.91,,,,,,
1995,92.9,,,,,,
1995,104.44,,,,,,
1995,103.71,,,,,,
1995,113.5,,,,,,
1995,113.65,,,,,,
1995,110.49,,,,,,
1995,110.33,,,,,,
1995,124.83,,,,,,
1995,123.66,,,,,,
1995,107.72,,,,,,
1995,107.15,,,,,,
1995,86.01,,,,,,
1995,85,,,,,,
1995,92.43,,,,,,
1995,92,,,,,,
1995,81.04,,,,,,
1995,79.67,,,,,,
1995,83.49,,,,,,
1995,82.78,,,,,,
1995,76.69,,,,,,
1995,75.33,,,,,,
1995,77.61,,,,,,
1995,77.57,,,,,,
1995,69.71,,,,,,
1995,71.22,,,,,,
1995,73.13,,,,,,
1995,70.96,,,,,,
1995,79.15,,,,,,
1995,77.22,,,,,,
1995,88.49,,,,,,
1995,87.82,,,,,,
1995,80.33,,,,,,
1995,80.4,,,,,,
1995,91.66,,,,,,
1995,89.04,,,,,,
1995,68.1,,,,,,
1995,70.6,,,,,,
1995,71.35,,,,,,
1995,69.82,,,,,,
1995,77.69,,,,,,
1995,76.17,,,,,,
1995,81.61,,,,,,
1995,80.1,,,,,,
1995,86.17,,,,,,
1995,85.51,,,,,,
1995,95.51,,,,,,
1995,96.17,,,,,,
1995,90.34,,,,,,
1995,89.61,,,,,,
1995,79.09,,,,,,
1995,78.04,,,,,,
1995,71.66,,,,,,
1995,71.89,,,,,,
1995,93.33,,,,,,
1995,92.78,,,,,,
1995,82.33,,,,,,
1995,82.56,,,,,,
1995,111.6,,,,,,
1995,112.52,,,,,,
1995,89.71,,,,,,
1995,90.4,,,,,,
1995,93.74,,,,,,
1995,91.73,,,,,,
1995,95.13,,,,,,
1995,95.94,,,,,,
1996,132.32,,,,,,
1996,131.98,,,,,,
1996,88.61,,,,,,
1996,87.41,,,,,,
1996,95.04,,,,,,
1996,96.49,,,,,,
1996,122.21,,,,,,
1996,121.06,,,,,,
1996,88.05,,,,,,
1996,85.94,,,,,,
1996,184.44,,,,,,
1996,182.71,,,,,,
1996,133.02,,,,,,
1996,128.88,,,,,,
1996,118.56,,,,,,
1996,115.81,,,,,,
1996,94.58,,,,,,
1996,93.51,,,,,,
1996,182.61,,,,,,
1996,178.4,,,,,,
1996,111.38,,,,,,
